"id","nombre","descripcion","peso_gramos","stock","costo_unitario","precio_venta","stock_minimo","createdAt","updatedAt"
41,Sprunki Enderman,Minecraft,69.0,1,1587.0,4000.0,5,2025-05-16 09:50:00.358 -0300,2025-05-16 09:50:00.358 -0300
40,Sprunki Bruja,Minecraft,69.0,2,1587.0,4000.0,5,2025-05-16 09:49:50.503 -0300,2025-05-16 09:52:23.325 -0300
52,Sprunki Black,Negro ,0.0,3,0.0,3500.0,5,2025-05-16 10:17:01.358 -0300,2025-05-16 10:17:01.358 -0300
55,Teorema de Pitágora,Teorema,0.0,1,0.0,4000.0,5,2025-05-16 10:20:44.092 -0300,2025-05-16 10:20:44.092 -0300
64,Deadpool Urbano,Deadpool,0.0,1,0.0,10000.0,5,2025-05-16 10:30:14.907 -0300,2025-05-16 10:30:38.240 -0300
63,Batman Urbano,Batman,0.0,1,0.0,10000.0,5,2025-05-16 10:28:45.875 -0300,2025-05-16 10:30:46.792 -0300
39,Golem,Minecraft,695.0,1,15985.0,7000.0,5,2025-05-16 09:49:29.984 -0300,2025-05-16 15:08:31.900 -0300
116,Stitch,Flexy,0.0,0,0.0,6000.0,5,2025-05-17 00:22:50.948 -0300,2025-05-17 09:50:41.065 -0300
80,Muñeca juego del calamar,Muñeca,0.0,1,0.0,6000.0,5,2025-05-16 16:39:54.786 -0300,2025-05-18 15:02:44.553 -0300
92,Maceta en espiral,Verde,0.0,1,0.0,5000.0,5,2025-05-16 17:05:35.963 -0300,2025-05-16 22:42:39.508 -0300
103,llavero capibara fernet,ferne,0.0,0,0.0,2500.0,5,2025-05-16 17:30:36.549 -0300,2025-05-18 16:19:43.762 -0300
42,Zombie Pato,Minecraft,69.0,0,1587.0,4000.0,5,2025-05-16 09:50:16.281 -0300,2025-05-24 13:22:58.744 -0300
85,Muñeca,Poppy playtime,0.0,2,0.0,7000.0,5,2025-05-16 16:50:26.362 -0300,2025-05-16 22:22:05.050 -0300
81,triceratops ,dinopro,0.0,2,0.0,5000.0,5,2025-05-16 16:41:42.255 -0300,2025-05-16 22:25:39.171 -0300
78,tails,tails,0.0,1,0.0,15000.0,5,2025-05-16 16:39:04.523 -0300,2025-05-16 22:25:53.651 -0300
86,Marshmello,Marshmello,0.0,2,0.0,3500.0,5,2025-05-16 16:55:15.209 -0300,2025-05-18 09:15:14.286 -0300
67,corazón ,corazón con patas,0.0,1,0.0,1500.0,5,2025-05-16 15:50:12.887 -0300,2025-05-16 22:28:09.280 -0300
70,fidget joystick ,fidget joystick ,0.0,1,0.0,1500.0,5,2025-05-16 15:58:19.101 -0300,2025-05-16 22:28:51.235 -0300
69,elefante apoya cel,apoya celular de elefante,0.0,1,0.0,1500.0,5,2025-05-16 15:56:12.006 -0300,2025-05-16 22:29:05.012 -0300
72,iguana brillante,brilla en la oscuridad ,0.0,2,0.0,4000.0,5,2025-05-16 16:30:37.774 -0300,2025-05-16 22:29:19.274 -0300
97,Mini elefante ,Celeste,0.0,1,0.0,2500.0,5,2025-05-16 17:07:57.311 -0300,2025-05-16 22:31:56.191 -0300
98,Mini elefante ,celeste,0.0,1,0.0,2500.0,5,2025-05-16 17:07:59.469 -0300,2025-05-16 22:32:52.167 -0300
71,huevo de dragón ,hay marrón y amarillo,0.0,2,0.0,6000.0,5,2025-05-16 16:30:07.652 -0300,2025-05-16 22:33:36.557 -0300
84,Osito flexi,oso,0.0,2,0.0,4500.0,5,2025-05-16 16:47:40.433 -0300,2025-05-16 22:35:03.556 -0300
75,dragón largo,dragón largo,0.0,1,0.0,7000.0,5,2025-05-16 16:32:38.977 -0300,2025-05-18 12:33:30.129 -0300
94,Skibidi parlante,Tiene corbata roja,0.0,1,0.0,7000.0,5,2025-05-16 17:06:39.102 -0300,2025-05-16 22:38:35.373 -0300
91,Skibidi Titan camerawoman,Negro y aqua,0.0,1,0.0,6000.0,5,2025-05-16 17:03:34.407 -0300,2025-05-16 22:39:28.141 -0300
88,Dino cuello largo,Verde,0.0,1,0.0,5000.0,5,2025-05-16 16:56:33.252 -0300,2025-05-16 22:39:47.619 -0300
101,llavero Bob esponja ,Bob esponja llavero ,0.0,3,0.0,1500.0,5,2025-05-16 17:28:33.500 -0300,2025-05-16 22:40:20.481 -0300
99,Kuromi,Kuromi,0.0,1,0.0,5000.0,5,2025-05-16 17:13:31.064 -0300,2025-05-16 22:40:58.517 -0300
93,Chill de cojones,Está de chill,0.0,1,0.0,5000.0,5,2025-05-16 17:05:58.721 -0300,2025-05-16 22:44:45.314 -0300
